Using device: cuda

[Data Distribution] Real: 2558  Fake: 7674  Total: 10232
[Val set] 6094 videos
[Manipulation types] ['real', 'faceswap', 'faceswap-wav2lip', 'fsgan', 'fsgan-wav2lip', 'rtvc', 'wav2lip', 'video_retalking', 'unknown_fake']

[DataLoader] batch_size=8 num_workers=4
Starting Stage A Training (frozen backbone, cached features)...
  Batch 390/1279 | Loss: 0.1539 (bce=0.0759 aux_ce=0.1951)
  Batch 400/1279 | Loss: 0.4230 (bce=0.1042 aux_ce=0.7968)
  Batch 410/1279 | Loss: 0.8608 (bce=0.5309 aux_ce=0.8246)
  Batch 420/1279 | Loss: 0.7101 (bce=0.3947 aux_ce=0.7885)
  Batch 430/1279 | Loss: 0.3795 (bce=0.2786 aux_ce=0.2523)
  Batch 440/1279 | Loss: 0.5522 (bce=0.2132 aux_ce=0.8474)
  Batch 450/1279 | Loss: 0.6412 (bce=0.4774 aux_ce=0.4094)
  Batch 460/1279 | Loss: 0.3911 (bce=0.1707 aux_ce=0.5510)
  Batch 470/1279 | Loss: 0.4013 (bce=0.1283 aux_ce=0.6824)
  Batch 480/1279 | Loss: 0.2474 (bce=0.1775 aux_ce=0.1747)
  Batch 490/1279 | Loss: 0.3155 (bce=0.2529 aux_ce=0.1567)
  Batch 500/1279 | Loss: 0.3166 (bce=0.1931 aux_ce=0.3088)
  Batch 510/1279 | Loss: 1.5477 (bce=1.2436 aux_ce=0.7603)
  Batch 520/1279 | Loss: 0.1063 (bce=0.0156 aux_ce=0.2267)
  Batch 530/1279 | Loss: 0.3546 (bce=0.2519 aux_ce=0.2568)
  Batch 540/1279 | Loss: 0.6803 (bce=0.4064 aux_ce=0.6847)
  Batch 550/1279 | Loss: 1.1609 (bce=0.9212 aux_ce=0.5993)
  Batch 560/1279 | Loss: 0.3194 (bce=0.2083 aux_ce=0.2778)
  Batch 570/1279 | Loss: 0.3156 (bce=0.1838 aux_ce=0.3295)
  Batch 580/1279 | Loss: 0.5368 (bce=0.4095 aux_ce=0.3183)
  Batch 590/1279 | Loss: 0.4136 (bce=0.2520 aux_ce=0.4040)
  Batch 600/1279 | Loss: 0.2304 (bce=0.1068 aux_ce=0.3089)
  Batch 610/1279 | Loss: 0.4055 (bce=0.2082 aux_ce=0.4932)
  Batch 620/1279 | Loss: 0.4187 (bce=0.3180 aux_ce=0.2517)
  Batch 630/1279 | Loss: 0.3198 (bce=0.1177 aux_ce=0.5052)
  Batch 640/1279 | Loss: 0.3454 (bce=0.1167 aux_ce=0.5719)
  Batch 650/1279 | Loss: 0.3814 (bce=0.3107 aux_ce=0.1767)
  Batch 660/1279 | Loss: 0.3711 (bce=0.3241 aux_ce=0.1173)
  Batch 670/1279 | Loss: 0.3779 (bce=0.1696 aux_ce=0.5209)
  Batch 680/1279 | Loss: 0.1867 (bce=0.0984 aux_ce=0.2208)
  Batch 690/1279 | Loss: 0.9317 (bce=0.7178 aux_ce=0.5349)
  Batch 700/1279 | Loss: 0.4137 (bce=0.1061 aux_ce=0.7690)
  Batch 710/1279 | Loss: 1.0502 (bce=0.7983 aux_ce=0.6298)
  Batch 720/1279 | Loss: 0.9099 (bce=0.7615 aux_ce=0.3711)
  Batch 730/1279 | Loss: 0.5316 (bce=0.2645 aux_ce=0.6677)
  Batch 740/1279 | Loss: 0.4694 (bce=0.2874 aux_ce=0.4552)
  Batch 750/1279 | Loss: 0.4100 (bce=0.2728 aux_ce=0.3431)
  Batch 760/1279 | Loss: 0.2753 (bce=0.2215 aux_ce=0.1343)
  Batch 770/1279 | Loss: 0.2934 (bce=0.1500 aux_ce=0.3586)
  Batch 780/1279 | Loss: 0.2645 (bce=0.0292 aux_ce=0.5882)
  Batch 790/1279 | Loss: 1.6407 (bce=1.2806 aux_ce=0.9001)
  Batch 800/1279 | Loss: 0.3076 (bce=0.2020 aux_ce=0.2640)
  Batch 810/1279 | Loss: 0.7153 (bce=0.3670 aux_ce=0.8707)
  Batch 820/1279 | Loss: 0.4212 (bce=0.1937 aux_ce=0.5688)
  Batch 830/1279 | Loss: 0.3210 (bce=0.1939 aux_ce=0.3179)
  Batch 840/1279 | Loss: 0.4178 (bce=0.1981 aux_ce=0.5491)
  Batch 850/1279 | Loss: 0.3087 (bce=0.1945 aux_ce=0.2856)
  Batch 860/1279 | Loss: 0.3118 (bce=0.1142 aux_ce=0.4939)
  Batch 870/1279 | Loss: 0.3292 (bce=0.1136 aux_ce=0.5390)
  Batch 880/1279 | Loss: 0.4483 (bce=0.3092 aux_ce=0.3477)
  Batch 890/1279 | Loss: 0.1994 (bce=0.0348 aux_ce=0.4114)
  Batch 900/1279 | Loss: 0.3104 (bce=0.0925 aux_ce=0.5447)
  Batch 910/1279 | Loss: 0.0674 (bce=0.0306 aux_ce=0.0921)
  Batch 920/1279 | Loss: 0.5799 (bce=0.3584 aux_ce=0.5536)
  Batch 930/1279 | Loss: 1.1702 (bce=0.8495 aux_ce=0.8016)
  Batch 940/1279 | Loss: 0.5313 (bce=0.4068 aux_ce=0.3111)
  Batch 950/1279 | Loss: 0.5072 (bce=0.3817 aux_ce=0.3137)
  Batch 960/1279 | Loss: 0.4170 (bce=0.1278 aux_ce=0.7231)
  Batch 970/1279 | Loss: 1.8123 (bce=1.4147 aux_ce=0.9939)
  Batch 980/1279 | Loss: 0.1231 (bce=0.1092 aux_ce=0.0346)
  Batch 990/1279 | Loss: 0.4283 (bce=0.3173 aux_ce=0.2774)
  Batch 1000/1279 | Loss: 0.3077 (bce=0.0982 aux_ce=0.5236)
  Batch 1010/1279 | Loss: 0.2010 (bce=0.0659 aux_ce=0.3377)
  Batch 1020/1279 | Loss: 0.4259 (bce=0.3032 aux_ce=0.3066)
  Batch 1030/1279 | Loss: 0.2089 (bce=0.0920 aux_ce=0.2923)
  Batch 1040/1279 | Loss: 0.1857 (bce=0.1376 aux_ce=0.1203)
  Batch 1050/1279 | Loss: 0.4010 (bce=0.3391 aux_ce=0.1548)
  Batch 1060/1279 | Loss: 1.0799 (bce=0.8566 aux_ce=0.5583)
  Batch 1070/1279 | Loss: 0.4308 (bce=0.0982 aux_ce=0.8316)
  Batch 1080/1279 | Loss: 0.8524 (bce=0.6997 aux_ce=0.3817)
  Batch 1090/1279 | Loss: 0.6929 (bce=0.4975 aux_ce=0.4885)
  Batch 1100/1279 | Loss: 0.2979 (bce=0.0206 aux_ce=0.6933)
  Batch 1110/1279 | Loss: 0.7116 (bce=0.5093 aux_ce=0.5058)
  Batch 1120/1279 | Loss: 0.3480 (bce=0.1942 aux_ce=0.3843)
  Batch 1130/1279 | Loss: 0.2495 (bce=0.1683 aux_ce=0.2028)
  Batch 1140/1279 | Loss: 0.4182 (bce=0.2655 aux_ce=0.3816)
  Batch 1150/1279 | Loss: 0.9262 (bce=0.7857 aux_ce=0.3513)
  Batch 1160/1279 | Loss: 1.2735 (bce=1.0218 aux_ce=0.6291)
  Batch 1170/1279 | Loss: 0.3120 (bce=0.2297 aux_ce=0.2057)
  Batch 1180/1279 | Loss: 1.3236 (bce=1.0523 aux_ce=0.6784)
  Batch 1190/1279 | Loss: 0.1763 (bce=0.0797 aux_ce=0.2417)
  Batch 1200/1279 | Loss: 0.2851 (bce=0.1429 aux_ce=0.3554)
  Batch 1210/1279 | Loss: 0.3689 (bce=0.1936 aux_ce=0.4383)
  Batch 1220/1279 | Loss: 0.2719 (bce=0.2150 aux_ce=0.1423)
  Batch 1230/1279 | Loss: 0.3443 (bce=0.1639 aux_ce=0.4508)
  Batch 1240/1279 | Loss: 0.2166 (bce=0.0499 aux_ce=0.4166)
  Batch 1250/1279 | Loss: 0.1594 (bce=0.0252 aux_ce=0.3354)
  Batch 1260/1279 | Loss: 0.1253 (bce=0.0891 aux_ce=0.0905)
  Batch 1270/1279 | Loss: 0.6838 (bce=0.4570 aux_ce=0.5672)
Epoch 2 | Train Loss: 0.5347 | Train Acc: 0.9135 | Val AUC: 0.9857
Saved checkpoint: models\stageA_checkpoint_epoch2.pth
  New best val AUC: 0.9857 - saved stageA_best_model.pth
  Batch 10/1279 | Loss: 0.4379 (bce=0.1678 aux_ce=0.6753)
  Batch 20/1279 | Loss: 0.1942 (bce=0.0524 aux_ce=0.3545)
  Batch 30/1279 | Loss: 0.6423 (bce=0.4312 aux_ce=0.5278)
  Batch 40/1279 | Loss: 0.9299 (bce=0.6079 aux_ce=0.8049)
  Batch 50/1279 | Loss: 1.3796 (bce=0.9194 aux_ce=1.1506)
  Batch 60/1279 | Loss: 0.1523 (bce=0.0786 aux_ce=0.1844)
  Batch 70/1279 | Loss: 0.4488 (bce=0.2916 aux_ce=0.3929)
  Batch 80/1279 | Loss: 0.1135 (bce=0.0475 aux_ce=0.1651)
  Batch 90/1279 | Loss: 0.4801 (bce=0.2561 aux_ce=0.5602)
  Batch 100/1279 | Loss: 0.5787 (bce=0.3946 aux_ce=0.4602)
  Batch 110/1279 | Loss: 0.0372 (bce=0.0253 aux_ce=0.0296)
  Batch 120/1279 | Loss: 0.1638 (bce=0.1373 aux_ce=0.0662)
  Batch 130/1279 | Loss: 2.4017 (bce=2.0088 aux_ce=0.9823)
  Batch 140/1279 | Loss: 0.4645 (bce=0.2989 aux_ce=0.4140)
  Batch 150/1279 | Loss: 0.2560 (bce=0.0505 aux_ce=0.5138)
  Batch 160/1279 | Loss: 0.2476 (bce=0.1581 aux_ce=0.2235)
  Batch 170/1279 | Loss: 0.7779 (bce=0.2629 aux_ce=1.2874)
  Batch 180/1279 | Loss: 0.1632 (bce=0.0506 aux_ce=0.2814)
  Batch 190/1279 | Loss: 0.1413 (bce=0.0365 aux_ce=0.2619)
  Batch 200/1279 | Loss: 0.3463 (bce=0.0432 aux_ce=0.7577)
  Batch 210/1279 | Loss: 0.4904 (bce=0.3863 aux_ce=0.2604)
  Batch 220/1279 | Loss: 0.0870 (bce=0.0446 aux_ce=0.1062)
  Batch 230/1279 | Loss: 0.3087 (bce=0.1438 aux_ce=0.4122)
  Batch 240/1279 | Loss: 0.4018 (bce=0.1234 aux_ce=0.6961)
  Batch 250/1279 | Loss: 0.3153 (bce=0.2091 aux_ce=0.2656)
  Batch 260/1279 | Loss: 0.1911 (bce=0.1283 aux_ce=0.1569)
  Batch 270/1279 | Loss: 0.8197 (bce=0.6720 aux_ce=0.3694)
  Batch 280/1279 | Loss: 0.2697 (bce=0.0807 aux_ce=0.4727)
  Batch 290/1279 | Loss: 1.0181 (bce=0.7786 aux_ce=0.5987)
  Batch 300/1279 | Loss: 0.0416 (bce=0.0341 aux_ce=0.0187)
  Batch 310/1279 | Loss: 0.0656 (bce=0.0590 aux_ce=0.0164)
  Batch 320/1279 | Loss: 0.1157 (bce=0.0813 aux_ce=0.0859)
  Batch 330/1279 | Loss: 0.2098 (bce=0.1621 aux_ce=0.1191)
  Batch 340/1279 | Loss: 0.8455 (bce=0.6314 aux_ce=0.5353)
  Batch 350/1279 | Loss: 0.5727 (bce=0.4556 aux_ce=0.2927)
  Batch 360/1279 | Loss: 0.1911 (bce=0.1527 aux_ce=0.0962)
  Batch 370/1279 | Loss: 0.2209 (bce=0.0589 aux_ce=0.4050)
  Batch 380/1279 | Loss: 0.2244 (bce=0.0239 aux_ce=0.5012)
  Batch 390/1279 | Loss: 0.1487 (bce=0.0513 aux_ce=0.2434)
  Batch 400/1279 | Loss: 0.1728 (bce=0.1140 aux_ce=0.1471)
  Batch 410/1279 | Loss: 0.2766 (bce=0.2006 aux_ce=0.1902)
  Batch 420/1279 | Loss: 0.0784 (bce=0.0351 aux_ce=0.1083)
  Batch 430/1279 | Loss: 0.0783 (bce=0.0322 aux_ce=0.1153)
  Batch 440/1279 | Loss: 1.1597 (bce=0.8857 aux_ce=0.6849)
  Batch 450/1279 | Loss: 0.9835 (bce=0.6584 aux_ce=0.8127)
  Batch 460/1279 | Loss: 0.2566 (bce=0.1830 aux_ce=0.1839)
  Batch 470/1279 | Loss: 0.4197 (bce=0.2249 aux_ce=0.4870)
  Batch 480/1279 | Loss: 0.1003 (bce=0.0495 aux_ce=0.1272)
  Batch 490/1279 | Loss: 0.8157 (bce=0.6756 aux_ce=0.3503)
  Batch 500/1279 | Loss: 0.5222 (bce=0.3769 aux_ce=0.3634)
