Using device: cuda

[Data Distribution] Real: 1016  Fake: 3048  Total: 4064
[Val set] 5459 videos
[Manipulation types] ['real', 'faceswap', 'faceswap-wav2lip', 'fsgan', 'fsgan-wav2lip', 'rtvc', 'wav2lip', 'video_retalking', 'unknown_fake']

[DataLoader] batch_size=8 num_workers=4
Starting Stage A Training (frozen backbone, cached features)...
  Batch 300/508 | Loss: 0.0452 (bce=0.0084 aux_ce=0.0919)
  Batch 310/508 | Loss: 0.1865 (bce=0.0027 aux_ce=0.4597)
  Batch 320/508 | Loss: 0.5034 (bce=0.3368 aux_ce=0.4167)
  Batch 330/508 | Loss: 0.1392 (bce=0.0129 aux_ce=0.3158)
  Batch 340/508 | Loss: 0.0349 (bce=0.0217 aux_ce=0.0330)
  Batch 350/508 | Loss: 0.1028 (bce=0.0442 aux_ce=0.1464)
  Batch 360/508 | Loss: 0.2664 (bce=0.1596 aux_ce=0.2670)
  Batch 370/508 | Loss: 0.1375 (bce=0.0237 aux_ce=0.2845)
  Batch 380/508 | Loss: 0.2269 (bce=0.1065 aux_ce=0.3010)
  Batch 390/508 | Loss: 0.0671 (bce=0.0097 aux_ce=0.1435)
  Batch 400/508 | Loss: 0.0380 (bce=0.0050 aux_ce=0.0827)
  Batch 410/508 | Loss: 0.0800 (bce=0.0074 aux_ce=0.1816)
  Batch 420/508 | Loss: 0.0903 (bce=0.0197 aux_ce=0.1764)
  Batch 430/508 | Loss: 0.1904 (bce=0.0278 aux_ce=0.4066)
  Batch 440/508 | Loss: 0.6127 (bce=0.1556 aux_ce=1.1428)
  Batch 450/508 | Loss: 0.0174 (bce=0.0045 aux_ce=0.0323)
  Batch 460/508 | Loss: 0.0345 (bce=0.0091 aux_ce=0.0635)
  Batch 470/508 | Loss: 0.2423 (bce=0.0042 aux_ce=0.5954)
  Batch 480/508 | Loss: 0.1852 (bce=0.0125 aux_ce=0.4317)
  Batch 490/508 | Loss: 0.0792 (bce=0.0062 aux_ce=0.1824)
  Batch 500/508 | Loss: 0.2496 (bce=0.1210 aux_ce=0.3215)
Epoch 4 | Train Loss: 0.2497 | Train Acc: 0.9700 | Val AUC: 0.9927
Saved checkpoint: models\stageA_checkpoint_epoch4.pth
  No improvement for 1/5 epochs
  Batch 10/508 | Loss: 0.1238 (bce=0.0024 aux_ce=0.3036)
  Batch 20/508 | Loss: 0.0619 (bce=0.0061 aux_ce=0.1393)
  Batch 30/508 | Loss: 0.4572 (bce=0.1844 aux_ce=0.6820)
  Batch 40/508 | Loss: 0.2428 (bce=0.0069 aux_ce=0.5898)
  Batch 50/508 | Loss: 0.0331 (bce=0.0067 aux_ce=0.0659)
  Batch 60/508 | Loss: 0.2062 (bce=0.0160 aux_ce=0.4755)
  Batch 70/508 | Loss: 0.6258 (bce=0.3981 aux_ce=0.5692)
  Batch 80/508 | Loss: 0.1010 (bce=0.0226 aux_ce=0.1960)
  Batch 90/508 | Loss: 0.6188 (bce=0.2726 aux_ce=0.8657)
  Batch 100/508 | Loss: 0.0643 (bce=0.0087 aux_ce=0.1390)
  Batch 110/508 | Loss: 0.0484 (bce=0.0417 aux_ce=0.0168)
  Batch 120/508 | Loss: 0.0876 (bce=0.0260 aux_ce=0.1540)
  Batch 130/508 | Loss: 0.6939 (bce=0.3219 aux_ce=0.9302)
  Batch 140/508 | Loss: 0.1556 (bce=0.0472 aux_ce=0.2710)
  Batch 150/508 | Loss: 0.1100 (bce=0.0327 aux_ce=0.1932)
  Batch 160/508 | Loss: 0.1092 (bce=0.0029 aux_ce=0.2658)
  Batch 170/508 | Loss: 0.1652 (bce=0.0073 aux_ce=0.3949)
  Batch 180/508 | Loss: 0.3377 (bce=0.0047 aux_ce=0.8324)
  Batch 190/508 | Loss: 0.2985 (bce=0.0150 aux_ce=0.7088)
  Batch 200/508 | Loss: 0.0870 (bce=0.0583 aux_ce=0.0716)
  Batch 210/508 | Loss: 0.4437 (bce=0.3073 aux_ce=0.3409)
  Batch 220/508 | Loss: 0.0990 (bce=0.0512 aux_ce=0.1196)
  Batch 230/508 | Loss: 0.1693 (bce=0.0099 aux_ce=0.3986)
  Batch 240/508 | Loss: 0.2332 (bce=0.0914 aux_ce=0.3545)
  Batch 250/508 | Loss: 0.0694 (bce=0.0052 aux_ce=0.1604)
  Batch 260/508 | Loss: 1.5475 (bce=1.2670 aux_ce=0.7014)
  Batch 270/508 | Loss: 0.0430 (bce=0.0087 aux_ce=0.0859)
  Batch 280/508 | Loss: 0.0581 (bce=0.0307 aux_ce=0.0684)
  Batch 290/508 | Loss: 0.0959 (bce=0.0050 aux_ce=0.2274)
  Batch 300/508 | Loss: 0.2690 (bce=0.0073 aux_ce=0.6544)
  Batch 310/508 | Loss: 0.1219 (bce=0.0084 aux_ce=0.2839)
  Batch 320/508 | Loss: 0.1724 (bce=0.0996 aux_ce=0.1821)
  Batch 330/508 | Loss: 0.1502 (bce=0.1039 aux_ce=0.1156)
  Batch 340/508 | Loss: 0.1530 (bce=0.1033 aux_ce=0.1241)
  Batch 350/508 | Loss: 0.1111 (bce=0.0045 aux_ce=0.2664)
  Batch 360/508 | Loss: 0.1976 (bce=0.0267 aux_ce=0.4272)
  Batch 370/508 | Loss: 0.0457 (bce=0.0065 aux_ce=0.0980)
  Batch 380/508 | Loss: 0.0524 (bce=0.0192 aux_ce=0.0831)
  Batch 390/508 | Loss: 0.1282 (bce=0.0187 aux_ce=0.2737)
  Batch 400/508 | Loss: 0.0661 (bce=0.0058 aux_ce=0.1508)
  Batch 410/508 | Loss: 0.0434 (bce=0.0053 aux_ce=0.0951)
  Batch 420/508 | Loss: 0.3073 (bce=0.2505 aux_ce=0.1420)
  Batch 430/508 | Loss: 0.2197 (bce=0.0015 aux_ce=0.5457)
  Batch 440/508 | Loss: 0.0497 (bce=0.0262 aux_ce=0.0587)
  Batch 450/508 | Loss: 0.0830 (bce=0.0175 aux_ce=0.1637)
  Batch 460/508 | Loss: 0.0685 (bce=0.0091 aux_ce=0.1484)
  Batch 470/508 | Loss: 0.1417 (bce=0.0151 aux_ce=0.3165)
  Batch 480/508 | Loss: 0.0250 (bce=0.0044 aux_ce=0.0513)
  Batch 490/508 | Loss: 0.0400 (bce=0.0153 aux_ce=0.0615)
  Batch 500/508 | Loss: 0.1641 (bce=0.0904 aux_ce=0.1841)
Epoch 5 | Train Loss: 0.2091 | Train Acc: 0.9776 | Val AUC: 0.9937
Saved checkpoint: models\stageA_checkpoint_epoch5.pth
  New best val AUC: 0.9937 - saved stageA_best_model.pth
  Batch 10/508 | Loss: 0.0398 (bce=0.0052 aux_ce=0.0866)
  Batch 20/508 | Loss: 0.1185 (bce=0.0043 aux_ce=0.2855)
  Batch 30/508 | Loss: 0.0554 (bce=0.0062 aux_ce=0.1228)
  Batch 40/508 | Loss: 0.2761 (bce=0.0947 aux_ce=0.4535)
  Batch 50/508 | Loss: 0.1355 (bce=0.0182 aux_ce=0.2931)
  Batch 60/508 | Loss: 0.0753 (bce=0.0082 aux_ce=0.1676)
  Batch 70/508 | Loss: 0.1949 (bce=0.0158 aux_ce=0.4477)
  Batch 80/508 | Loss: 0.0969 (bce=0.0058 aux_ce=0.2279)
  Batch 90/508 | Loss: 0.1498 (bce=0.0133 aux_ce=0.3413)
  Batch 100/508 | Loss: 0.0520 (bce=0.0140 aux_ce=0.0950)
  Batch 110/508 | Loss: 0.3972 (bce=0.2518 aux_ce=0.3635)
  Batch 120/508 | Loss: 0.0385 (bce=0.0072 aux_ce=0.0783)
  Batch 130/508 | Loss: 0.2422 (bce=0.0225 aux_ce=0.5493)
  Batch 140/508 | Loss: 0.2946 (bce=0.1993 aux_ce=0.2381)
  Batch 150/508 | Loss: 0.0359 (bce=0.0254 aux_ce=0.0261)
  Batch 160/508 | Loss: 0.0835 (bce=0.0049 aux_ce=0.1967)
  Batch 170/508 | Loss: 0.0593 (bce=0.0188 aux_ce=0.1013)
  Batch 180/508 | Loss: 0.1033 (bce=0.0592 aux_ce=0.1104)
  Batch 190/508 | Loss: 0.0189 (bce=0.0049 aux_ce=0.0348)
  Batch 200/508 | Loss: 0.0816 (bce=0.0083 aux_ce=0.1833)
  Batch 210/508 | Loss: 0.1731 (bce=0.0523 aux_ce=0.3019)
  Batch 220/508 | Loss: 0.1485 (bce=0.0348 aux_ce=0.2840)
  Batch 230/508 | Loss: 0.0993 (bce=0.0064 aux_ce=0.2323)
  Batch 240/508 | Loss: 0.0247 (bce=0.0056 aux_ce=0.0476)
  Batch 250/508 | Loss: 0.0832 (bce=0.0686 aux_ce=0.0366)
  Batch 260/508 | Loss: 0.1797 (bce=0.0374 aux_ce=0.3556)
  Batch 270/508 | Loss: 0.1691 (bce=0.0022 aux_ce=0.4172)
  Batch 280/508 | Loss: 0.0383 (bce=0.0252 aux_ce=0.0328)
  Batch 290/508 | Loss: 0.1829 (bce=0.0032 aux_ce=0.4492)
  Batch 300/508 | Loss: 0.1321 (bce=0.0487 aux_ce=0.2086)
  Batch 310/508 | Loss: 0.0756 (bce=0.0110 aux_ce=0.1613)
  Batch 320/508 | Loss: 0.0505 (bce=0.0092 aux_ce=0.1033)
  Batch 330/508 | Loss: 0.0477 (bce=0.0021 aux_ce=0.1141)
  Batch 340/508 | Loss: 0.0336 (bce=0.0045 aux_ce=0.0728)
  Batch 350/508 | Loss: 0.1112 (bce=0.0078 aux_ce=0.2584)
  Batch 360/508 | Loss: 0.1746 (bce=0.0188 aux_ce=0.3895)
  Batch 370/508 | Loss: 0.0136 (bce=0.0079 aux_ce=0.0143)
  Batch 380/508 | Loss: 0.1050 (bce=0.0078 aux_ce=0.2432)
  Batch 390/508 | Loss: 0.0657 (bce=0.0080 aux_ce=0.1443)
  Batch 400/508 | Loss: 0.0613 (bce=0.0156 aux_ce=0.1144)
  Batch 410/508 | Loss: 0.0095 (bce=0.0084 aux_ce=0.0028)
  Batch 420/508 | Loss: 0.0230 (bce=0.0125 aux_ce=0.0263)
  Batch 430/508 | Loss: 0.1715 (bce=0.0634 aux_ce=0.2704)
  Batch 440/508 | Loss: 0.0732 (bce=0.0023 aux_ce=0.1772)
  Batch 450/508 | Loss: 0.0554 (bce=0.0049 aux_ce=0.1263)
  Batch 460/508 | Loss: 1.8079 (bce=1.3641 aux_ce=1.1096)
  Batch 470/508 | Loss: 0.0311 (bce=0.0058 aux_ce=0.0633)
  Batch 480/508 | Loss: 0.1380 (bce=0.0830 aux_ce=0.1375)
  Batch 490/508 | Loss: 0.1201 (bce=0.0208 aux_ce=0.2482)
  Batch 500/508 | Loss: 0.0502 (bce=0.0373 aux_ce=0.0323)
Epoch 6 | Train Loss: 0.1810 | Train Acc: 0.9808 | Val AUC: 0.9927
Saved checkpoint: models\stageA_checkpoint_epoch6.pth
  No improvement for 1/5 epochs
  Batch 10/508 | Loss: 0.0384 (bce=0.0156 aux_ce=0.0572)
  Batch 20/508 | Loss: 0.0866 (bce=0.0053 aux_ce=0.2031)
  Batch 30/508 | Loss: 0.0802 (bce=0.0131 aux_ce=0.1678)
  Batch 40/508 | Loss: 0.2087 (bce=0.1283 aux_ce=0.2010)
  Batch 50/508 | Loss: 0.0762 (bce=0.0159 aux_ce=0.1508)
  Batch 60/508 | Loss: 0.0699 (bce=0.0037 aux_ce=0.1654)
  Batch 70/508 | Loss: 0.3527 (bce=0.2169 aux_ce=0.3396)
  Batch 80/508 | Loss: 1.0318 (bce=0.7518 aux_ce=0.7000)
  Batch 90/508 | Loss: 0.0830 (bce=0.0010 aux_ce=0.2051)
