Using device: cuda

[Data Distribution] Real: 2786  Fake: 8358  Total: 11144
[Val set] 10786 videos
[Manipulation types] ['real', 'faceswap', 'faceswap-wav2lip', 'fsgan', 'fsgan-wav2lip', 'rtvc', 'wav2lip', 'video_retalking', 'unknown_fake']

[DataLoader] batch_size=8 num_workers=4
Starting Stage A Training (frozen backbone, cached features)...
  Batch 90/1393 | Loss: 2.0721 (bce=1.4959 aux_ce=1.4405)
  Batch 100/1393 | Loss: 0.2706 (bce=0.1419 aux_ce=0.3219)
  Batch 110/1393 | Loss: 0.3267 (bce=0.2790 aux_ce=0.1192)
  Batch 120/1393 | Loss: 0.3073 (bce=0.2130 aux_ce=0.2357)
  Batch 130/1393 | Loss: 0.5092 (bce=0.1945 aux_ce=0.7865)
  Batch 140/1393 | Loss: 0.4136 (bce=0.2787 aux_ce=0.3373)
  Batch 150/1393 | Loss: 0.3316 (bce=0.1682 aux_ce=0.4085)
  Batch 160/1393 | Loss: 0.1950 (bce=0.0328 aux_ce=0.4056)
  Batch 170/1393 | Loss: 0.3634 (bce=0.2618 aux_ce=0.2540)
  Batch 180/1393 | Loss: 0.2857 (bce=0.1266 aux_ce=0.3977)
  Batch 190/1393 | Loss: 0.3389 (bce=0.1815 aux_ce=0.3935)
  Batch 200/1393 | Loss: 0.4783 (bce=0.1951 aux_ce=0.7081)
  Batch 210/1393 | Loss: 0.7200 (bce=0.6003 aux_ce=0.2993)
  Batch 220/1393 | Loss: 0.4328 (bce=0.2350 aux_ce=0.4945)
  Batch 230/1393 | Loss: 0.4357 (bce=0.3246 aux_ce=0.2778)
  Batch 240/1393 | Loss: 0.7854 (bce=0.4334 aux_ce=0.8800)
  Batch 250/1393 | Loss: 0.1846 (bce=0.0689 aux_ce=0.2892)
  Batch 260/1393 | Loss: 0.4732 (bce=0.3826 aux_ce=0.2264)
  Batch 270/1393 | Loss: 0.3755 (bce=0.1686 aux_ce=0.5172)
  Batch 280/1393 | Loss: 0.5171 (bce=0.3908 aux_ce=0.3158)
  Batch 290/1393 | Loss: 0.3247 (bce=0.0653 aux_ce=0.6484)
  Batch 300/1393 | Loss: 0.2774 (bce=0.1893 aux_ce=0.2202)
  Batch 310/1393 | Loss: 1.2884 (bce=1.0263 aux_ce=0.6552)
  Batch 320/1393 | Loss: 0.3617 (bce=0.1651 aux_ce=0.4916)
  Batch 330/1393 | Loss: 0.3440 (bce=0.1108 aux_ce=0.5831)
  Batch 340/1393 | Loss: 0.9377 (bce=0.6227 aux_ce=0.7874)
  Batch 350/1393 | Loss: 0.4653 (bce=0.2552 aux_ce=0.5255)
